,Latitude,Longitude,Depth,Root Mean Square,Magnitude,Day,Month,Year,Hours,Minutes,Seconds,Magnitude Type_MS,Magnitude Type_MW,Magnitude Type_MWB,Magnitude Type_MWC,Magnitude Type_MWW,Location Source_ISCGEM,Magnitude Source_NC,Magnitude Source_US
128,-30.5256,-72.1984,10.0,1.16,1.88706964903238,19,9,2015,13,8,58,0,0,0,0,1,0,0,1
129,-16.085,167.951,112.4,1.1,1.9021075263969205,27,2,1984,9,40,18,0,1,0,0,0,0,0,0
130,-5.207,152.494,66.4,0.9,1.9021075263969205,30,5,1982,1,25,12,0,0,0,0,0,0,0,1
131,-22.696,-176.65,112.4,0.76,1.9021075263969205,14,5,2005,10,2,45,0,0,1,0,0,0,0,1
132,-4.741,103.082,63.0,1.0,1.88706964903238,30,5,1983,14,47,10,0,0,0,0,0,0,0,1
133,-5.46,152.802,40.0,1.022469952000009,1.9459101490553128,26,7,1971,4,19,16,0,1,0,0,0,1,0,0
134,-8.706,157.62,14.0,0.92,1.9740810260220096,2,4,2007,12,2,23,0,0,1,0,0,0,0,1
135,16.731,-86.217,19.0,1.12,2.0281482472922856,28,5,2009,8,24,47,0,0,0,1,0,0,0,0
136,51.092,179.261,19.8,1.022469952000009,1.9021075263969205,15,8,2006,12,26,17,0,0,0,1,0,0,0,0
137,27.5,66.092,27.9,1.0,1.8718021769015916,8,9,1990,19,33,19,0,1,0,0,0,0,0,0
138,6.069,126.967,60.0,1.022469952000009,1.88706964903238,2,12,1972,10,36,9,0,1,0,0,0,1,0,0
139,2.215,128.225,112.4,1.022469952000009,1.9021075263969205,16,9,1972,10,51,41,0,1,0,0,0,1,0,0
140,-15.008,-175.521,16.0,1.1,2.0281482472922856,6,4,1991,14,34,21,0,1,0,0,0,0,1,0
141,-40.121,174.33,112.4,1.1,1.88706964903238,8,8,1989,7,59,6,0,1,0,0,0,0,0,0
142,-0.045,122.999,112.4,1.022469952000009,1.9315214116032136,15,2,1970,12,36,36,0,1,0,0,0,1,0,0
143,-57.911,-64.528,6.0,1.22,1.88706964903238,17,1,2007,18,34,15,0,0,1,0,0,0,0,1
144,31.962,137.61,112.4,1.022469952000009,1.9459101490553128,7,3,1978,2,48,39,0,0,0,0,0,0,0,1
145,20.556,94.16,35.6,1.0,2.0149030205422647,29,5,1994,14,11,51,0,1,0,0,0,0,0,0
146,-7.414,155.964,10.0,0.85,1.9315214116032136,19,4,2001,2,40,36,0,0,0,1,0,0,0,0
147,27.236,140.23,112.4,1.022469952000009,2.0281482472922856,27,5,1970,12,5,7,0,1,0,0,0,1,0,0
148,27.557,-112.419,9.0,1.022469952000009,1.8718021769015916,3,10,1973,4,27,41,0,0,0,0,0,0,0,1
